node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node1;v3;eqh;v1;1;200
node1;v4;lpr;v3,v5;1;200
node1;v5;clahe;v1;1;200
node1;v6;fib;v2,v4;1;200
node2;v7;bf;v0;1;200
node2;v8;lpr;v7;1;200
node2;v9;eqh;v7;1;200
node2;v10;lpr;v9,v11;1;200
node1;v11;clahe;v7;1;200
node2;v12;fib;v8,v10;1;200
node3;v13;bf;v0;1;200
node3;v14;lpr;v13;1;200
node3;v15;eqh;v13;1;200
node3;v16;lpr;v15,v17;1;200
node2;v17;clahe;v13;1;200
node3;v18;fib;v14,v16;1;200
node4;v19;bf;v0;1;200
node4;v20;lpr;v19;1;200
node4;v21;eqh;v19;1;200
node4;v22;lpr;v21,v23;1;200
node2;v23;clahe;v19;1;200
node4;v24;fib;v20,v22;1;200
node8;v25;snk;v6,v12,v18,v24;1;200
