node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node4;v2;lpr;1;v1;1;200
node2;v3;eqh;1;v0;1;200
node7;v4;lpr;1;v3;1;200
node3;v5;clahe;1;v0;1;200
node3;v6;lpr;1;v5;1;200
node2;v7;seg;1;v2,v4,v6;1;200
node2;v8;fib;1;v7;1;200
node4;v9;bf;1;v0;1;200
node2;v10;lpr;1;v9;1;200
node5;v11;eqh;1;v0;1;200
node5;v12;lpr;1;v11;1;200
node6;v13;clahe;1;v0;1;200
node6;v14;lpr;1;v13;1;200
node5;v15;seg;1;v10,v12,v14;1;200
node5;v16;fib;1;v15;1;200
node7;v17;bf;1;v0;1;200
node1;v18;lpr;1;v17;1;200
node2;v19;eqh;1;v0;1;200
node4;v20;lpr;1;v19;1;200
node5;v21;clahe;1;v0;1;200
node7;v22;lpr;1;v21;1;200
node2;v23;seg;1;v18,v20,v22;1;200
node2;v24;fib;1;v23;1;200
node3;v25;bf;1;v0;1;200
node3;v26;lpr;1;v25;1;200
node6;v27;eqh;1;v0;1;200
node6;v28;lpr;1;v27;1;200
node1;v29;clahe;1;v0;1;200
node1;v30;lpr;1;v29;1;200
node5;v31;seg;1;v26,v28,v30;1;200
node5;v32;fib;1;v31;1;200
node8;v33;snk;1;v8,v16,v24,v32;1;200
