node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node2;v3;eqh;v1;1;200
node2;v5;clahe;v1;1;200
node3;v4;lpr;v3;1;200
node3;v6;lpr;v5;1;200
node1;v7;eqh;v0;1;200
node1;v8;lpr;v7;1;200
node1;v9;clahe;v0;1;200
node2;v10;lpr;v9;1;200
node4;v12;seg;v8,v10;1;200
node3;v11;seg;v2,v4,v6;1;200
node4;v13;fib;v12;1;200
node1;v14;bf;v0;1;200
node2;v15;lpr;v14;1;200
node2;v16;eqh;v14;1;200
node3;v18;clahe;v14;1;200
node4;v17;lpr;v16;1;200
node3;v19;lpr;v18;1;200
node1;v20;eqh;v0;1;200
node2;v21;lpr;v20;1;200
node1;v22;clahe;v0;1;200
node3;v23;lpr;v22;1;200
node4;v25;seg;v21,v23;1;200
node4;v24;seg;v15,v17,v19;1;200
node4;v26;fib;v25;1;200
node8;v27;snk;v11,v13,v24,v26;1;200
