node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node3;v2;lpr;v1;1;200
node1;v3;eqh;v0;1;200
node2;v4;lpr;v3;1;200
node1;v5;clahe;v0;1;200
node4;v6;lpr;v5;1;200
node1;v7;seg;v2,v4,v6;1;200
node1;v8;fib;v7;1;200
node1;v9;bf;v0;1;200
node1;v10;lpr;v9;1;200
node1;v11;eqh;v0;1;200
node2;v12;lpr;v11;1;200
node1;v13;clahe;v0;1;200
node3;v14;lpr;v13;1;200
node1;v15;seg;v10,v12,v14;1;200
node1;v16;fib;v15;1;200
node2;v17;bf;v0;1;200
node1;v18;lpr;v17;1;200
node2;v19;eqh;v0;1;200
node4;v20;lpr;v19;1;200
node2;v21;clahe;v0;1;200
node5;v22;lpr;v21;1;200
node2;v23;seg;v18,v20,v22;1;200
node2;v24;fib;v23;1;200
node2;v25;bf;v0;1;200
node5;v26;lpr;v25;1;200
node2;v27;eqh;v0;1;200
node5;v28;lpr;v27;1;200
node2;v29;clahe;v0;1;200
node6;v30;lpr;v29;1;200
node2;v31;seg;v26,v28,v30;1;200
node2;v32;fib;v31;1;200
node3;v33;bf;v0;1;200
node6;v34;lpr;v33;1;200
node3;v35;eqh;v0;1;200
node6;v36;lpr;v35;1;200
node3;v37;clahe;v0;1;200
node6;v38;lpr;v37;1;200
node3;v39;seg;v34,v36,v38;1;200
node3;v40;fib;v39;1;200
node3;v41;bf;v0;1;200
node7;v42;lpr;v41;1;200
node3;v43;eqh;v0;1;200
node7;v44;lpr;v43;1;200
node3;v45;clahe;v0;1;200
node7;v46;lpr;v45;1;200
node3;v47;seg;v42,v44,v46;1;200
node3;v48;fib;v47;1;200
node4;v49;bf;v0;1;200
node7;v50;lpr;v49;1;200
node4;v51;eqh;v0;1;200
node5;v52;lpr;v51;1;200
node4;v53;clahe;v0;1;200
node1;v54;lpr;v53;1;200
node4;v55;seg;v50,v52,v54;1;200
node4;v56;fib;v55;1;200
node4;v57;bf;v0;1;200
node6;v58;lpr;v57;1;200
node4;v59;eqh;v0;1;200
node7;v60;lpr;v59;1;200
node4;v61;clahe;v0;1;200
node5;v62;lpr;v61;1;200
node4;v63;seg;v58,v60,v62;1;200
node4;v64;fib;v63;1;200
node5;v65;bf;v0;1;200
node6;v66;lpr;v65;1;200
node5;v67;eqh;v0;1;200
node7;v68;lpr;v67;1;200
node5;v69;clahe;v0;1;200
node6;v70;lpr;v69;1;200
node5;v71;seg;v66,v68,v70;1;200
node5;v72;fib;v71;1;200
node8;v73;snk;v8,v16,v24,v32,v40,v48,v56,v64,v72;1;200
