node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node2;v2;lpr;v1;1;200
node1;v3;eqh;v1;1;200
node1;v5;clahe;v1;1;200
node5;v4;lpr;v3;1;200
node6;v6;lpr;v5;1;200
node1;v7;eqh;v0;1;200
node1;v8;lpr;v7;1;200
node1;v9;clahe;v0;1;200
node2;v10;lpr;v9;1;200
node5;v12;seg;v8,v10;1;200
node1;v11;seg;v2,v4,v6;1;200
node1;v13;fib;v12;1;200
node1;v14;bf;v0;1;200
node1;v15;lpr;v14;1;200
node3;v16;eqh;v14;1;200
node3;v18;clahe;v14;1;200
node6;v17;lpr;v16;1;200
node7;v19;lpr;v18;1;200
node1;v20;eqh;v0;1;200
node3;v21;lpr;v20;1;200
node1;v22;clahe;v0;1;200
node3;v23;lpr;v22;1;200
node7;v25;seg;v21,v23;1;200
node5;v24;seg;v15,v17,v19;1;200
node1;v26;fib;v25;1;200
node2;v27;bf;v0;1;200
node3;v28;lpr;v27;1;200
node4;v29;eqh;v27;1;200
node4;v31;clahe;v27;1;200
node7;v30;lpr;v29;1;200
node7;v32;lpr;v31;1;200
node2;v33;eqh;v0;1;200
node4;v34;lpr;v33;1;200
node2;v35;clahe;v0;1;200
node4;v36;lpr;v35;1;200
node2;v38;seg;v34,v36;1;200
node2;v37;seg;v28,v30,v32;1;200
node2;v39;fib;v38;1;200
node2;v40;bf;v0;1;200
node4;v41;lpr;v40;1;200
node4;v42;eqh;v40;1;200
node4;v44;clahe;v40;1;200
node7;v43;lpr;v42;1;200
node4;v45;lpr;v44;1;200
node2;v46;eqh;v0;1;200
node5;v47;lpr;v46;1;200
node2;v48;clahe;v0;1;200
node5;v49;lpr;v48;1;200
node5;v51;seg;v47,v49;1;200
node2;v50;seg;v41,v43,v45;1;200
node2;v52;fib;v51;1;200
node3;v53;bf;v0;1;200
node5;v54;lpr;v53;1;200
node4;v55;eqh;v53;1;200
node5;v57;clahe;v53;1;200
node6;v56;lpr;v55;1;200
node7;v58;lpr;v57;1;200
node3;v59;eqh;v0;1;200
node6;v60;lpr;v59;1;200
node3;v61;clahe;v0;1;200
node6;v62;lpr;v61;1;200
node5;v64;seg;v60,v62;1;200
node3;v63;seg;v54,v56,v58;1;200
node3;v65;fib;v64;1;200
node8;v66;snk;v11,v13,v24,v26,v37,v39,v50,v52,v63,v65;1;200
