node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node1;v3;eqh;v0;1;200
node1;v4;lpr;v3,v5;1;200
node1;v5;clahe;v0;1;200
node1;v6;seg;v2,v4;1;200
node1;v7;fib;v6;1;200
node1;v8;bf;v0;1;200
node1;v9;lpr;v8;1;200
node1;v10;eqh;v0;1;200
node1;v11;lpr;v10,v12;1;200
node1;v12;clahe;v0;1;200
node1;v13;seg;v9,v11;1;200
node1;v14;fib;v13;1;200
node1;v15;bf;v0;1;200
node1;v16;lpr;v15;1;200
node1;v17;eqh;v0;1;200
node3;v18;lpr;v17,v19;1;200
node2;v19;clahe;v0;1;200
node3;v20;seg;v16,v18;1;200
node3;v21;fib;v20;1;200
node2;v22;bf;v0;1;200
node2;v23;lpr;v22;1;200
node2;v24;eqh;v0;1;200
node2;v25;lpr;v24,v26;1;200
node2;v26;clahe;v0;1;200
node2;v27;seg;v23,v25;1;200
node2;v28;fib;v27;1;200
node2;v29;bf;v0;1;200
node2;v30;lpr;v29;1;200
node2;v31;eqh;v0;1;200
node2;v32;lpr;v31,v33;1;200
node2;v33;clahe;v0;1;200
node2;v34;seg;v30,v32;1;200
node2;v35;fib;v34;1;200
node2;v36;bf;v0;1;200
node2;v37;lpr;v36;1;200
node3;v38;eqh;v0;1;200
node3;v39;lpr;v38,v40;1;200
node3;v40;clahe;v0;1;200
node3;v41;seg;v37,v39;1;200
node3;v42;fib;v41;1;200
node8;v43;snk;v7,v14,v21,v28,v35,v42;1;200
