node;vid;type;upstream;rate;count
node8;v0;src;;1;200
node1;v1;bf;v0;1;200
node1;v2;lpr;v1;1;200
node1;v3;eqh;v1;1;200
node1;v4;lpr;v3;1;200
node1;v5;clahe;v1;1;200
node1;v6;lpr;v5;1;200
node1;v7;fib;v2,v4,v6;1;200
node1;v8;bf;v0;1;200
node1;v9;lpr;v8;1;200
node1;v10;eqh;v8;1;200
node1;v11;lpr;v10;1;200
node1;v12;clahe;v8;1;200
node1;v13;lpr;v12;1;200
node1;v14;fib;v9,v11,v13;1;200
node2;v15;bf;v0;1;200
node2;v16;lpr;v15;1;200
node1;v17;eqh;v15;1;200
node1;v18;lpr;v17;1;200
node1;v19;clahe;v15;1;200
node1;v20;lpr;v19;1;200
node3;v21;fib;v16,v18,v20;1;200
node2;v22;bf;v0;1;200
node2;v23;lpr;v22;1;200
node2;v24;eqh;v22;1;200
node2;v25;lpr;v24;1;200
node2;v26;clahe;v22;1;200
node2;v27;lpr;v26;1;200
node2;v28;fib;v23,v25,v27;1;200
node3;v29;bf;v0;1;200
node3;v30;lpr;v29;1;200
node2;v31;eqh;v29;1;200
node2;v32;lpr;v31;1;200
node2;v33;clahe;v29;1;200
node2;v34;lpr;v33;1;200
node3;v35;fib;v30,v32,v34;1;200
node3;v36;bf;v0;1;200
node3;v37;lpr;v36;1;200
node2;v38;eqh;v36;1;200
node2;v39;lpr;v38;1;200
node2;v40;clahe;v36;1;200
node2;v41;lpr;v40;1;200
node3;v42;fib;v37,v39,v41;1;200
node4;v43;bf;v0;1;200
node4;v44;lpr;v43;1;200
node3;v45;eqh;v43;1;200
node3;v46;lpr;v45;1;200
node3;v47;clahe;v43;1;200
node3;v48;lpr;v47;1;200
node3;v49;fib;v44,v46,v48;1;200
node8;v50;snk;v7,v14,v21,v28,v35,v42,v49;1;200
